,fecha_mes,etiqueta_leyenda,valor_corregido
1,01/01/2020,27101999 (3) - Aceite diésel (gasóleo) y sus me...,19096773575
2,01/02/2020,27101999 (3) - Aceite diésel (gasóleo) y sus me...,13974913187
3,01/03/2020,27101999 (3) - Aceite diésel (gasóleo) y sus me...,17308185467
4,01/04/2020,27101999 (3) - Aceite diésel (gasóleo) y sus me...,12035916724
5,01/05/2020,27101999 (3) - Aceite diésel (gasóleo) y sus me...,6463305725
6,01/06/2020,27101999 (3) - Aceite diésel (gasóleo) y sus me...,10378895434
7,01/07/2020,27101999 (3) - Aceite diésel (gasóleo) y sus me...,13005087696
8,01/08/2020,27101999 (3) - Aceite diésel (gasóleo) y sus me...,11757253840
9,01/09/2020,27101999 (3) - Aceite diésel (gasóleo) y sus me...,17058351330
10,01/10/2020,27101999 (3) - Aceite diésel (gasóleo) y sus me...,10414875865
11,01/11/2020,27101999 (3) - Aceite diésel (gasóleo) y sus me...,8033917998
12,01/12/2020,27101999 (3) - Aceite diésel (gasóleo) y sus me...,12481587859
13,01/01/2021,27101999 (3) - Aceite diésel (gasóleo) y sus me...,9443938847
14,01/02/2021,27101999 (3) - Aceite diésel (gasóleo) y sus me...,8251318319
15,01/03/2021,27101999 (3) - Aceite diésel (gasóleo) y sus me...,15819572974
16,01/04/2021,27101999 (3) - Aceite diésel (gasóleo) y sus me...,14440331686
17,01/05/2021,27101999 (3) - Aceite diésel (gasóleo) y sus me...,15933880394
18,01/06/2021,27101999 (3) - Aceite diésel (gasóleo) y sus me...,21794322933
19,01/07/2021,27101999 (3) - Aceite diésel (gasóleo) y sus me...,21139537651
20,01/08/2021,27101999 (3) - Aceite diésel (gasóleo) y sus me...,15761658600
21,01/09/2021,27101999 (3) - Aceite diésel (gasóleo) y sus me...,12620214372
22,01/10/2021,27101999 (3) - Aceite diésel (gasóleo) y sus me...,14001880424
23,01/11/2021,27101999 (3) - Aceite diésel (gasóleo) y sus me...,12058686282
24,01/12/2021,27101999 (3) - Aceite diésel (gasóleo) y sus me...,18197140963
25,01/01/2022,27101999 (3) - Aceite diésel (gasóleo) y sus me...,12019892648
26,01/02/2022,27101999 (3) - Aceite diésel (gasóleo) y sus me...,11475905996
27,01/03/2022,27101999 (3) - Aceite diésel (gasóleo) y sus me...,15821918546
28,01/04/2022,27101999 (3) - Aceite diésel (gasóleo) y sus me...,22070600450
29,01/05/2022,27101999 (3) - Aceite diésel (gasóleo) y sus me...,34965948070
30,01/06/2022,27101999 (3) - Aceite diésel (gasóleo) y sus me...,46483448695
31,01/07/2022,27101999 (3) - Aceite diésel (gasóleo) y sus me...,40422339868
32,01/08/2022,27101999 (3) - Aceite diésel (gasóleo) y sus me...,36571582095
33,01/09/2022,27101999 (3) - Aceite diésel (gasóleo) y sus me...,32730510572
34,01/10/2022,27101999 (3) - Aceite diésel (gasóleo) y sus me...,26653929479
35,01/11/2022,27101999 (3) - Aceite diésel (gasóleo) y sus me...,22441021053
36,01/12/2022,27101999 (3) - Aceite diésel (gasóleo) y sus me...,29396584478
