"","CO_NCM","Fecha","Total_Mensual","Etiqueta_Leyenda"
"1","27101249",2021-01-01,123943490,"27101249 - Aceites distintos a petroq."
"2","27101249",2021-02-01,116191224,"27101249 - Aceites distintos a petroq."
"3","27101249",2021-03-01,49138627,"27101249 - Aceites distintos a petroq."
"4","27101249",2021-04-01,19799745,"27101249 - Aceites distintos a petroq."
"5","27101249",2021-05-01,51942024,"27101249 - Aceites distintos a petroq."
"6","27101249",2021-06-01,15608098,"27101249 - Aceites distintos a petroq."
"7","27101249",2021-07-01,71243642,"27101249 - Aceites distintos a petroq."
"8","27101249",2021-08-01,47625782,"27101249 - Aceites distintos a petroq."
"9","27101249",2021-09-01,41870632,"27101249 - Aceites distintos a petroq."
"10","27101249",2021-10-01,45970933,"27101249 - Aceites distintos a petroq."
"11","27101249",2021-11-01,66273740,"27101249 - Aceites distintos a petroq."
"12","27101249",2021-12-01,51000724,"27101249 - Aceites distintos a petroq."
"13","27101249",2022-01-01,68320671,"27101249 - Aceites distintos a petroq."
"14","27101249",2022-02-01,45726103,"27101249 - Aceites distintos a petroq."
"15","27101249",2022-03-01,39248579,"27101249 - Aceites distintos a petroq."
"16","27101249",2022-04-01,28845705,"27101249 - Aceites distintos a petroq."
"17","27101249",2022-05-01,59852956,"27101249 - Aceites distintos a petroq."
"18","27101249",2022-06-01,39226745,"27101249 - Aceites distintos a petroq."
"19","27101249",2022-07-01,38213833,"27101249 - Aceites distintos a petroq."
"20","27101249",2022-08-01,50800669,"27101249 - Aceites distintos a petroq."
"21","27101249",2022-09-01,58046294,"27101249 - Aceites distintos a petroq."
"22","27101249",2022-10-01,47173321,"27101249 - Aceites distintos a petroq."
"23","27101249",2022-11-01,63546611,"27101249 - Aceites distintos a petroq."
"24","27101249",2022-12-01,140879629,"27101249 - Aceites distintos a petroq."
"25","27101249",2023-01-01,9478917,"27101249 - Aceites distintos a petroq."
"26","27101249",2023-02-01,192416217,"27101249 - Aceites distintos a petroq."
"27","27101249",2023-03-01,32387411,"27101249 - Aceites distintos a petroq."
"28","27101249",2023-04-01,60487848,"27101249 - Aceites distintos a petroq."
"29","27101249",2023-05-01,71873224,"27101249 - Aceites distintos a petroq."
"30","27101249",2023-06-01,41672265,"27101249 - Aceites distintos a petroq."
"31","27101249",2023-07-01,116967379,"27101249 - Aceites distintos a petroq."
"32","27101249",2023-08-01,134178321,"27101249 - Aceites distintos a petroq."
"33","27101249",2023-09-01,100278893,"27101249 - Aceites distintos a petroq."
"34","27101249",2023-10-01,40996545,"27101249 - Aceites distintos a petroq."
"35","27101249",2023-11-01,70787549,"27101249 - Aceites distintos a petroq."
"36","27101249",2023-12-01,250441761,"27101249 - Aceites distintos a petroq."
"37","27101259",2021-01-01,194028679,"27101259 - Gasolinas (Otros medios)"
"38","27101259",2021-02-01,108599916,"27101259 - Gasolinas (Otros medios)"
"39","27101259",2021-03-01,93538944,"27101259 - Gasolinas (Otros medios)"
"40","27101259",2021-04-01,65059281,"27101259 - Gasolinas (Otros medios)"
"41","27101259",2021-05-01,88220737,"27101259 - Gasolinas (Otros medios)"
"42","27101259",2021-06-01,105290198,"27101259 - Gasolinas (Otros medios)"
"43","27101259",2021-07-01,99859812,"27101259 - Gasolinas (Otros medios)"
"44","27101259",2021-08-01,273482327,"27101259 - Gasolinas (Otros medios)"
"45","27101259",2021-09-01,202476247,"27101259 - Gasolinas (Otros medios)"
"46","27101259",2021-10-01,296792817,"27101259 - Gasolinas (Otros medios)"
"47","27101259",2021-11-01,160029814,"27101259 - Gasolinas (Otros medios)"
"48","27101259",2021-12-01,103394377,"27101259 - Gasolinas (Otros medios)"
"49","27101259",2022-01-01,258192153,"27101259 - Gasolinas (Otros medios)"
"50","27101259",2022-02-01,119166804,"27101259 - Gasolinas (Otros medios)"
"51","27101259",2022-03-01,119883128,"27101259 - Gasolinas (Otros medios)"
"52","27101259",2022-04-01,100762882,"27101259 - Gasolinas (Otros medios)"
"53","27101259",2022-05-01,112630640,"27101259 - Gasolinas (Otros medios)"
"54","27101259",2022-06-01,104041879,"27101259 - Gasolinas (Otros medios)"
"55","27101259",2022-07-01,175348908,"27101259 - Gasolinas (Otros medios)"
"56","27101259",2022-08-01,227883480,"27101259 - Gasolinas (Otros medios)"
"57","27101259",2022-09-01,348404869,"27101259 - Gasolinas (Otros medios)"
