,fecha_mes,etiqueta_leyenda,valor_corregido
1,01/01/2020,27101299 (5) - Gasolina con octanaje superior o...,40435454034
2,01/02/2020,27101299 (5) - Gasolina con octanaje superior o...,31184943420
3,01/03/2020,27101299 (5) - Gasolina con octanaje superior o...,33558661748
4,01/04/2020,27101299 (5) - Gasolina con octanaje superior o...,24864756533
5,01/05/2020,27101299 (5) - Gasolina con octanaje superior o...,9712317068
6,01/06/2020,27101299 (5) - Gasolina con octanaje superior o...,15716558007
7,01/07/2020,27101299 (5) - Gasolina con octanaje superior o...,26349569568
8,01/08/2020,27101299 (5) - Gasolina con octanaje superior o...,26511850770
9,01/09/2020,27101299 (5) - Gasolina con octanaje superior o...,35070778934
10,01/10/2020,27101299 (5) - Gasolina con octanaje superior o...,29943439730
11,01/11/2020,27101299 (5) - Gasolina con octanaje superior o...,21389255203
12,01/12/2020,27101299 (5) - Gasolina con octanaje superior o...,29346767914
13,01/01/2021,27101299 (5) - Gasolina con octanaje superior o...,16210822779
14,01/02/2021,27101299 (5) - Gasolina con octanaje superior o...,19094357765
15,01/03/2021,27101299 (5) - Gasolina con octanaje superior o...,25679971690
16,01/04/2021,27101299 (5) - Gasolina con octanaje superior o...,32178597599
17,01/05/2021,27101299 (5) - Gasolina con octanaje superior o...,33605528728
18,01/06/2021,27101299 (5) - Gasolina con octanaje superior o...,48718524829
19,01/07/2021,27101299 (5) - Gasolina con octanaje superior o...,57834173724
20,01/08/2021,27101299 (5) - Gasolina con octanaje superior o...,37353569586
21,01/09/2021,27101299 (5) - Gasolina con octanaje superior o...,34505365246
22,01/10/2021,27101299 (5) - Gasolina con octanaje superior o...,41896380427
23,01/11/2021,27101299 (5) - Gasolina con octanaje superior o...,30254889161
24,01/12/2021,27101299 (5) - Gasolina con octanaje superior o...,44716113508
25,01/01/2022,27101299 (5) - Gasolina con octanaje superior o...,36622894769
26,01/02/2022,27101299 (5) - Gasolina con octanaje superior o...,31640213195
27,01/03/2022,27101299 (5) - Gasolina con octanaje superior o...,47536004303
28,01/04/2022,27101299 (5) - Gasolina con octanaje superior o...,49826549333
29,01/05/2022,27101299 (5) - Gasolina con octanaje superior o...,51328662848
30,01/06/2022,27101299 (5) - Gasolina con octanaje superior o...,75437382794
31,01/07/2022,27101299 (5) - Gasolina con octanaje superior o...,72650896459
32,01/08/2022,27101299 (5) - Gasolina con octanaje superior o...,64416713604
33,01/09/2022,27101299 (5) - Gasolina con octanaje superior o...,53529322816
34,01/10/2022,27101299 (5) - Gasolina con octanaje superior o...,30112479685
35,01/11/2022,27101299 (5) - Gasolina con octanaje superior o...,26478441452
36,01/12/2022,27101299 (5) - Gasolina con octanaje superior o...,33239120851
37,01/01/2023,27101299 (5) - Gasolina con octanaje superior o...,41541957289
38,01/02/2023,27101299 (5) - Gasolina con octanaje superior o...,37437767520
39,01/03/2023,27101299 (5) - Gasolina con octanaje superior o...,37274030460
40,01/04/2023,27101299 (5) - Gasolina con octanaje superior o...,35653511007
41,01/05/2023,27101299 (5) - Gasolina con octanaje superior o...,33275559645
42,01/06/2023,27101299 (5) - Gasolina con octanaje superior o...,26394761069
43,01/07/2023,27101299 (5) - Gasolina con octanaje superior o...,25631109437
44,01/08/2023,27101299 (5) - Gasolina con octanaje superior o...,32918126398
45,01/09/2023,27101299 (5) - Gasolina con octanaje superior o...,29884600421
46,01/10/2023,27101299 (5) - Gasolina con octanaje superior o...,21488312446
47,01/11/2023,27101299 (5) - Gasolina con octanaje superior o...,15773406336
48,01/12/2023,27101299 (5) - Gasolina con octanaje superior o...,8525614506
49,01/01/2024,27101299 (5) - Gasolina con octanaje superior o...,11254293740
50,01/02/2024,27101299 (5) - Gasolina con octanaje superior o...,14101971805
51,01/03/2024,27101299 (5) - Gasolina con octanaje superior o...,17523733139
52,01/04/2024,27101299 (5) - Gasolina con octanaje superior o...,14379555464
53,01/05/2024,27101299 (5) - Gasolina con octanaje superior o...,15501600786
54,01/06/2024,27101299 (5) - Gasolina con octanaje superior o...,10795741704
55,01/07/2024,27101299 (5) - Gasolina con octanaje superior o...,15149373872
56,01/08/2024,27101299 (5) - Gasolina con octanaje superior o...,16398485832
57,01/09/2024,27101299 (5) - Gasolina con octanaje superior o...,16669934739
58,01/10/2024,27101299 (5) - Gasolina con octanaje superior o...,16378583028
59,01/11/2024,27101299 (5) - Gasolina con octanaje superior o...,15280501956
60,01/12/2024,27101299 (5) - Gasolina con octanaje superior o...,14412089229
61,01/01/2020,27101299 (6) - Gasolina con octanaje superior o...,3948483839
62,01/02/2020,27101299 (6) - Gasolina con octanaje superior o...,2712279925
63,01/03/2020,27101299 (6) - Gasolina con octanaje superior o...,2512246073
64,01/04/2020,27101299 (6) - Gasolina con octanaje superior o...,2959517499
65,01/05/2020,27101299 (6) - Gasolina con octanaje superior o...,1154042420
66,01/06/2020,27101299 (6) - Gasolina con octanaje superior o...,2767240713
67,01/07/2020,27101299 (6) - Gasolina con octanaje superior o...,4818966534
68,01/08/2020,27101299 (6) - Gasolina con octanaje superior o...,4787338571
69,01/09/2020,27101299 (6) - Gasolina con octanaje superior o...,3495345137
70,01/10/2020,27101299 (6) - Gasolina con octanaje superior o...,4028824077
71,01/11/2020,27101299 (6) - Gasolina con octanaje superior o...,2337606578
