,anio_num,mes_num,fecha_mes,promedio_estimulo_magna,promedio_estimulo_diesel
1,2020,1,01/01/2020,8.8975,10.0625
2,2020,2,01/02/2020,0.238,0
3,2020,3,01/03/2020,0,0
4,2020,4,01/04/2020,0,0
5,2020,5,01/05/2020,0,0
6,2020,6,01/06/2020,0,0
7,2020,7,01/07/2020,0,0
8,2020,8,01/08/2020,0,0
9,2020,9,01/09/2020,0,0
10,2020,10,01/10/2020,0,0
11,2020,11,01/11/2020,0,0
12,2020,12,01/12/2020,0,0
13,2021,1,01/01/2021,0,0
14,2021,2,01/02/2021,15.0975,4.175
15,2021,3,01/03/2021,42.79,17.7575
16,2021,4,01/04/2021,31.45,3.043333333
17,2021,5,01/05/2021,35.66,14.628
18,2021,6,01/06/2021,44.6925,26.2675
19,2021,7,01/07/2021,51.064,22.854
20,2021,8,01/08/2021,49.3625,18.42
21,2021,9,01/09/2021,53.8325,27.77
22,2021,10,01/10/2021,75.042,56.85
23,2021,11,01/11/2021,71.2475,52.2525
24,2021,12,01/12/2021,49.19,33.3775
25,2022,1,01/01/2022,69.354,57.586
26,2022,2,01/02/2022,98.0925,84.4375
27,2022,3,01/03/2022,100,100
28,2022,4,01/04/2022,100,100
29,2022,5,01/05/2022,100,100
30,2022,6,01/06/2022,100,100
31,2022,7,01/07/2022,100,100
32,2022,8,01/08/2022,95.7475,100
33,2022,9,01/09/2022,76.55,100
34,2022,10,01/10/2022,93.052,100
35,2022,11,01/11/2022,71.9175,97.895
36,2022,12,01/12/2022,28.01,70.185
37,2023,1,01/01/2023,60.338,94.306
38,2023,2,01/02/2023,52.21,54.8525
39,2023,3,01/03/2023,44.7325,42.325
40,2023,4,01/04/2023,42.2275,23.1025
41,2023,5,01/05/2023,22.4575,2.8675
42,2023,6,01/06/2023,24.285,2.1575
43,2023,7,01/07/2023,25.66,7.112
44,2023,8,01/08/2023,52.065,40.295
45,2023,9,01/09/2023,52.786,54.79
46,2023,10,01/10/2023,22.7125,52.6425
47,2023,11,01/11/2023,2.7075,21.935
48,2023,12,01/12/2023,0,0.865
49,2024,1,01/01/2024,0.296,3.066
50,2024,2,01/02/2024,9.7775,17.41
51,2024,3,01/03/2024,16.85,7.8975
52,2024,4,01/04/2024,14.2325,1.5875
53,2024,5,01/05/2024,3.7325,0
54,2024,6,01/06/2024,3.164,2.278
55,2024,7,01/07/2024,9.4525,3.7025
56,2024,8,01/08/2024,8.106,0
57,2024,9,01/09/2024,0,0
58,2024,10,01/10/2024,2.07,0
59,2024,11,01/11/2024,0.124,0.066
60,2024,12,01/12/2024,0,0
